2023-03-02 07:30:54,578 INFO    MainThread:3292 [wandb_setup.py:_flush():69] setting env: {'project': 'exercise_14', 'run_group': 'dev'}
2023-03-02 07:30:54,579 INFO    MainThread:3292 [wandb_setup.py:_flush():69] setting login settings: {}
2023-03-02 07:30:54,579 INFO    MainThread:3292 [wandb_init.py:_log_setup():334] Logging user logs to /Users/adamelshimi/Desktop/Desktop - Adam’s MacBook Air/Udacity/MLDevOps/End-to-end pipepline/genre_classification/download/wandb/run-20230302_073054-8cozajst/logs/debug.log
2023-03-02 07:30:54,579 INFO    MainThread:3292 [wandb_init.py:_log_setup():335] Logging internal logs to /Users/adamelshimi/Desktop/Desktop - Adam’s MacBook Air/Udacity/MLDevOps/End-to-end pipepline/genre_classification/download/wandb/run-20230302_073054-8cozajst/logs/debug-internal.log
2023-03-02 07:30:54,579 INFO    MainThread:3292 [wandb_init.py:init():367] calling init triggers
2023-03-02 07:30:54,579 INFO    MainThread:3292 [wandb_init.py:init():372] wandb.init called with sweep_config: {}
config: {}
2023-03-02 07:30:54,579 INFO    MainThread:3292 [wandb_init.py:init():416] starting backend
2023-03-02 07:30:54,579 INFO    MainThread:3292 [backend.py:_multiprocessing_setup():69] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-03-02 07:30:54,597 INFO    MainThread:3292 [backend.py:ensure_launched():123] starting backend process...
2023-03-02 07:30:54,604 INFO    MainThread:3292 [backend.py:ensure_launched():127] started backend process with pid: 3300
2023-03-02 07:30:54,605 INFO    MainThread:3292 [wandb_init.py:init():421] backend started and connected
2023-03-02 07:30:54,606 INFO    MainThread:3292 [wandb_init.py:init():461] updated telemetry
2023-03-02 07:30:54,606 INFO    MainThread:3292 [wandb_init.py:init():480] communicating current version
2023-03-02 07:30:54,997 INFO    MainThread:3292 [wandb_init.py:init():485] got version response upgrade_message: "wandb version 0.13.10 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-03-02 07:30:54,997 INFO    MainThread:3292 [wandb_init.py:init():493] communicating run to backend with 30 second timeout
2023-03-02 07:30:56,081 INFO    MainThread:3292 [wandb_init.py:init():518] starting run threads in backend
2023-03-02 07:30:56,145 INFO    MainThread:3292 [wandb_run.py:_console_start():1476] atexit reg
2023-03-02 07:30:56,146 INFO    MainThread:3292 [wandb_run.py:_redirect():1339] redirect: SettingsConsole.REDIRECT
2023-03-02 07:30:56,146 INFO    MainThread:3292 [wandb_run.py:_redirect():1344] Redirecting console.
2023-03-02 07:30:56,146 INFO    MainThread:3292 [redirect.py:install():213] install start
2023-03-02 07:30:56,146 INFO    MainThread:3292 [redirect.py:install():228] install stop
2023-03-02 07:30:56,146 INFO    MainThread:3292 [redirect.py:install():213] install start
2023-03-02 07:30:56,146 INFO    MainThread:3292 [redirect.py:install():228] install stop
2023-03-02 07:30:56,146 INFO    MainThread:3292 [wandb_run.py:_redirect():1390] Redirects installed.
2023-03-02 07:30:56,146 INFO    MainThread:3292 [wandb_init.py:init():542] run started, returning control to user process
2023-03-02 07:30:58,241 INFO    MainThread:3292 [wandb_run.py:finish():1135] finishing run adames88/exercise_14/8cozajst
